"Qty","Value","Device","Package","Parts","Description","DK","MPN"
"1",,"47346-0001","MOLEX_47346-0001","J1","CONN RCPT 5POS MICRO USB R/A  SMD","WM17141CT-ND","0473460001"
"1",,"PINHD-1X02_2.54-S","1X02-S","JP1","PIN HEADER",,
"11","100n","CAP0402","0402-CAP","C1, C2, C3, C9, C10, C11, C12, C13, C14, C19, C23","Capacitor","490-3261-1-ND","GRM155R71C104KA88D"
"1","101-00581-59-6-ND","USD-SOCKET","MICROSD_1:1","U2","microSD Socket","101-00581-59-6-ND","101-00581-59"
"3","10k","RESISTOR0402-RES","0402-RES","R6, R8, R14","Resistor","311-10.0KLRCT-ND","RC0402FR-0710KL"
"5","10n","CAP0402","0402-CAP","C5, C6, C8, C16, C24","Capacitor","490-1312-1-ND","GRM155R71E103KA01D"
"3","10u","CAP0805","0805-CAP","C4, C7, C20","Capacitor","490-7207-1-ND","GRM219R61E106KA12D"
"1","15K","RESISTOR0402-RES","0402-RES","R12","Resistor","311-15.0KLRCT-ND","RC0402FR-0715KL"
"3","1k","RESISTOR0402-RES","0402-RES","R2, R7, R13","Resistor","311-1.00KLRCT-ND","RC0402FR-071KL"
"1","22K","RESISTOR0402-RES","0402-RES","R11","Resistor","311-22.0KLRCT-ND","RC0402FR-0722KL"
"2","22R","RESISTOR0402-RES","0402-RES","R9, R10","Resistor","311-22.0LRCT-ND","RC0402FR-0722RL"
"1","2X9","2X9","2X9","U$1",,,
"4","2k7","RESISTOR0402-RES","0402-RES","R1, R3, R16, R17","Resistor","311-2.70KLRCT-ND","RC0402FR-072K7L"
"5","2u2","CAP0603","0603-CAP","C15, C17, C18, C21, C22","Capacitor","490-4520-1-ND","GRM188R71A225KE15D"
"3","330R","RESISTOR0402-RES","0402-RES","R4, R15, R18","Resistor","311-330LRCT-ND","RC0402FR-07330RL"
"1","BOOT","RESISTOR0603-RES","0603-RES","R19","Resistor",,
"1","Blue","LEDCHIPLED_0603","CHIPLED_0603","LED2","LED","160-1827-1-ND","LTST-C193TBKT-5A"
"1","CSTCE8M00G55Z-R0","CSTCR6M00G53Z","CSTER12M","Q1","Resonator","490-1219-1-ND","CSTCE8M00G55Z-R0"
"1","FB","RESISTOR0603-RES","0603-RES","R5","Resistor","732-1586-1-ND","742792664"
"1","Green","LEDCHIPLED_0603","CHIPLED_0603","LED3","LED","160-1828-1-ND","LTST-C193KGKT-5A"
"1","MAX3051EKA","MAX3051EKA","SOT23-8L","U3",,"MAX3051EKA+TCT-ND","MAX3051EKA+T"
"1","MCP1703CB","MCP1703CB","SOT23","IC1","250 mA, 16V, Low Quiescent Current LDO Regulator","MCP1703T-3302E/CBCT-ND","MCP1703T-3302E/CB"
"1","MPU-6000","MPU-6000","QFN-24","U5","Invensense MPU-6000: 3-axis gyro, 3-axis accel & 9-axis MotionFusion","1428-1005-1-ND","MPU-6000"
"1","MS5611-01BA","MS5611-01BA","MS5611-01BA","U4","MS5611-01BA","223-1622-1-ND","MS561101BA03-50"
"1","PMEG4005CT,215","BAT54C","SOT23","D1","Dual schottky diode","568-6522-1-ND","PMEG4005CT,215"
"5","PTR1B1,27","PTR1B1,27","B1,27","TP1, TP2, TP3, TP4, TP5","TEST PIN",,
"1","REG113NA-3.3/250","REG113NA-3/250","SOT95P280X145-5N","U1","DMOS 400mA Low-Dropout Regulator","296-26326-1-ND","REG113NA-3.3/250"
"1","Red","LEDCHIPLED_0603","CHIPLED_0603","LED1","LED","160-1830-1-ND","LTST-C193KRKT-5A"
"5","SM04B-SRSS-TB","SM04B-SRSS-TB","SM04B-SRSS-TB","X1, X2, X3, X4, X5","Disconnectable Crimp style connector, 1.0mm pitch4 contacts","455-1804-1-ND","SM04B-SRSS-TB(LF)(SN)"
"3","SM08B-SRSS-TB","SM08B-SRSS-TB","SM08B-SRSS-TB","X6, X7, X8","Disconnectable Crimp style connector, 1.0mm pitch8 contacts","455-1808-1-ND","SM08B-SRSS-TB(LF)(SN)"
"1","STM32F745VGT","STM32F745VGT","LQFP100","IC2","ARM 32-bit Cortex�-M7 CPU","497-16097-ND","STM32F745VGT6"
